iter	Passed	Remaining
604	13050	94807
605	13074	94803
606	13096	94781
607	13116	94749
608	13136	94717
609	13157	94691
610	13181	94683
611	13201	94654
612	13222	94624
613	13242	94597
614	13265	94587
615	13286	94561
616	13306	94527
617	13330	94523
618	13351	94498
619	13374	94487
620	13397	94472
621	13419	94456
622	13438	94413
623	13457	94373
624	13476	94338
625	13500	94329
626	13522	94313
627	13542	94280
628	13563	94253
629	13583	94220
630	13604	94196
631	13626	94179
632	13646	94145
633	13669	94134
634	13688	94096
635	13711	94086
636	13735	94075
637	13758	94064
638	13777	94028
639	13797	93993
640	13816	93956
641	13837	93930
642	13857	93896
643	13879	93879
644	13902	93869
645	13923	93840
646	13945	93823
647	13966	93800
648	13989	93786
649	14009	93756
650	14030	93730
651	14052	93715
652	14073	93684
653	14092	93650
654	14114	93629
655	14135	93607
656	14156	93582
657	14178	93560
658	14199	93536
659	14222	93526
660	14243	93497
661	14261	93455
662	14284	93440
663	14304	93410
664	14325	93384
665	14348	93375
666	14370	93356
667	14392	93335
668	14413	93310
669	14436	93296
670	14457	93271
671	14478	93248
672	14500	93227
673	14520	93200
674	14542	93177
675	14562	93145
676	14582	93115
677	14604	93100
678	14627	93084
679	14646	93049
680	14669	93033
681	14689	93006
682	14714	93003
683	14733	92965
684	14755	92950
685	14778	92936
686	14798	92902
687	14818	92873
688	14839	92851
689	14860	92825
690	14882	92806
691	14904	92784
692	14927	92775
693	14948	92752
694	14969	92726
695	14989	92696
696	15009	92661
697	15031	92643
698	15054	92628
699	15074	92601
700	15096	92584
701	15116	92548
702	15135	92514
703	15155	92485
704	15177	92461
705	15199	92443
706	15219	92415
707	15244	92414
708	15267	92401
709	15288	92378
710	15312	92372
711	15334	92349
712	15356	92334
713	15377	92305
714	15399	92287
715	15419	92256
716	15442	92246
717	15463	92218
718	15485	92199
719	15505	92172
720	15527	92152
721	15550	92141
722	15569	92103
723	15590	92079
724	15613	92065
725	15632	92029
726	15654	92010
727	15676	91994
728	15697	91967
729	15720	91955
730	15740	91922
731	15761	91897
732	15783	91882
733	15804	91854
734	15823	91818
735	15846	91808
736	15867	91781
737	15889	91764
738	15909	91731
739	15929	91701
